16,14,904,14
14,720,905,720
16,26,905,26
14,731,905,731
893,719,893,27
905,730,905,16
309,277,892,277
309,467,892,467
309,289,892,289
309,455,892,455
27,374,27,28
309,288,309,145
14,730,14,405
320,480,320,351
15,404,15,173
16,527,16,405
302,557,394,557
149,568,244,568
309,383,644,383
319,568,319,458
26,719,26,528
455,371,576,371
309,381,454,381
308,568,308,482
310,568,310,483
614,208,614,27
321,382,321,290
603,204,603,27
531,671,683,671
393,419,581,419
394,718,394,558
530,673,684,673
393,417,581,417
221,718,221,557
209,719,209,557
383,718,383,570
93,559,210,557
530,697,684,697
25,526,25,405
32,529,32,403
30,529,30,403
28,568,147,566
309,30,311,145
530,699,684,699
319,23,321,145
246,566,382,569
393,382,576,382
