14,14,776,14
14,20,776,20
529,181,529,21
522,181,522,21
274,596,274,251
770,429,770,22
14,194,14,15
776,429,776,15
20,531,20,251
268,596,268,250
328,174,439,174
327,181,572,181
606,431,707,431
14,424,106,424
522,429,775,429
340,357,529,357
70,524,267,524
361,250,527,250
76,528,266,528
70,522,267,522
76,526,267,526
341,364,529,364
359,257,529,257
361,405,529,405
529,595,529,252
270,45,426,45
359,383,522,383
641,174,641,22
270,67,423,67
522,478,522,258
359,381,520,381
752,181,752,39
339,595,457,595
480,351,480,262
359,402,487,402
14,363,14,251
414,29,695,34
340,589,456,589
340,597,456,597
216,192,216,73
593,426,710,426
478,350,478,263
339,591,456,591
467,31,695,35
270,69,423,69
483,174,572,174
695,127,695,21
592,424,711,424
512,39,751,39
276,29,278,148
